TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Crimes,2019,6,5,8,58,30XX E 7TH AVE,Hastings-Sunrise,497113.2016,5456782.915
Other Crimes,2019,10,23,19,43,30XX E 7TH AVE,Hastings-Sunrise,497116.597,5456792.036
Other Crimes,2019,11,26,8,25,30XX E 7TH AVE,Hastings-Sunrise,497149.8872,5456782.673
Other Crimes,2019,8,15,11,26,30XX E 8TH AVE,Hastings-Sunrise,497012.4229,5456680.917
Other Crimes,2019,1,12,10,50,30XX E 8TH AVE,Hastings-Sunrise,497051.714,5456689.871
Other Crimes,2019,7,8,22,0,30XX E HASTINGS ST,Hastings-Sunrise,497152.6454,5458708.021
Other Crimes,2019,10,20,20,26,30XX KITCHENER ST,Hastings-Sunrise,497103.6388,5457720.989
Other Crimes,2019,7,13,3,0,30XX KITCHENER ST,Hastings-Sunrise,497110.6181,5457730.158
Other Crimes,2019,6,18,9,9,30XX VENABLES ST,Hastings-Sunrise,497087.0401,5458182.199
Other Crimes,2019,5,13,20,0,31XX E GEORGIA ST,Hastings-Sunrise,497208.0854,5458386.277
Other Crimes,2019,8,17,10,57,31XX E PENDER ST,Hastings-Sunrise,497184.3484,5458600.991
Other Crimes,2019,8,15,1,0,31XX E PENDER ST,Hastings-Sunrise,497283.9655,5458610.051
Other Crimes,2019,1,3,17,30,31XX GRAVELEY ST,Hastings-Sunrise,497334.0558,5457519.203
Other Crimes,2019,3,7,20,30,32XX ADANAC ST,Hastings-Sunrise,497545.7293,5458294.926
Other Crimes,2019,11,3,17,30,32XX E 2ND AVE,Hastings-Sunrise,497390.0248,5457306.145
Other Crimes,2019,5,17,16,34,32XX E 5TH AVE,Hastings-Sunrise,497361.1454,5456985.819
Other Crimes,2019,1,13,11,27,32XX E 6TH AVE,Hastings-Sunrise,497461.407,5456879.25
Other Crimes,2019,11,7,20,41,32XX E PENDER ST,Hastings-Sunrise,497508.4226,5458600.838
Other Crimes,2019,12,3,19,0,33XX VENABLES ST,Hastings-Sunrise,497655.0957,5458212.123
Other Crimes,2019,8,4,4,27,33XX WILLIAM ST,Hastings-Sunrise,497620.5748,5457925.984
Other Crimes,2019,11,22,11,13,34XX E 2ND AVE,Hastings-Sunrise,497814.515,5457294.668
Other Crimes,2019,12,9,7,44,34XX E HASTINGS ST,Hastings-Sunrise,497881.503,5458714.021
Other Crimes,2019,5,26,14,14,34XX E HASTINGS ST,Hastings-Sunrise,497920.912,5458713.782
Other Crimes,2019,7,19,12,1,34XX E PENDER ST,Hastings-Sunrise,497890.1531,5458611.38
Other Crimes,2019,4,7,12,50,34XX WILLIAM ST,Hastings-Sunrise,497875.1562,5457932.501
Other Crimes,2019,8,13,17,21,35XX ADANAC ST,Hastings-Sunrise,498034.1411,5458292.653
Other Crimes,2019,11,14,14,39,35XX WILLIAM ST,Hastings-Sunrise,497983.8039,5457923.269
Other Crimes,2019,3,9,22,29,36XX E HASTINGS ST,Hastings-Sunrise,498204.5054,5458704.879
